image_id,dog_id,label,fold
BDSE_251,dog_0083,N,1
BDSE_252,dog_0338,A,4
BDSE_253,dog_0409,H,3
BDSE_254,dog_0170,N,1
BDSE_255,dog_0049,N,3
BDSE_256,dog_0132,N,4
BDSE_257,dog_0304,A,1
BDSE_258,dog_0256,A,0
BDSE_259,dog_0415,H,4
BDSE_260,dog_0171,N,4
BDSE_261,dog_0283,A,3
BDSE_262,dog_0285,A,3
BDSE_263,dog_0194,N,4
BDSE_264,dog_0133,N,1
BDSE_265,dog_0278,A,4
BDSE_266,dog_0440,N,4
BDSE_267,dog_0403,H,1
BDSE_268,dog_0427,H,2
BDSE_269,dog_0303,A,3
BDSE_270,dog_0212,A,3
BDSE_271,dog_0248,A,3
BDSE_272,dog_0089,N,4
BDSE_273,dog_0146,N,1
BDSE_274,dog_0126,N,0
BDSE_275,dog_0329,A,0
BDSE_276,dog_0102,N,0
BDSE_277,dog_0156,N,0
BDSE_278,dog_0277,A,3
BDSE_279,dog_0433,H,1
BDSE_280,dog_0412,H,3
BDSE_281,dog_0127,N,0
BDSE_282,dog_0285,A,3
BDSE_283,dog_0207,A,1
BDSE_284,dog_0268,A,3
BDSE_285,dog_0215,A,0
BDSE_286,dog_0006,N,2
BDSE_287,dog_0370,H,3
BDSE_288,dog_0114,N,4
BDSE_289,dog_0118,N,1
BDSE_290,dog_0087,N,4
BDSE_291,dog_0125,N,3
BDSE_292,dog_0394,H,1
BDSE_293,dog_0293,A,0
BDSE_294,dog_0165,N,4
BDSE_295,dog_0259,A,4
BDSE_296,dog_0384,H,3
BDSE_297,dog_0186,N,3
BDSE_298,dog_0267,A,0
BDSE_299,dog_0426,H,0
BDSE_300,dog_0217,A,2
BDSE_301,dog_0239,A,2
BDSE_302,dog_0273,A,1
BDSE_303,dog_0220,A,1
BDSE_304,dog_0261,A,0
BDSE_305,dog_0379,H,0
BDSE_306,dog_0001,N,2
BDSE_307,dog_0080,N,2
BDSE_308,dog_0159,N,4
BDSE_309,dog_0269,A,3
BDSE_310,dog_0251,A,4
BDSE_311,dog_0040,N,1
BDSE_312,dog_0084,N,4
BDSE_313,dog_0367,N,4
BDSE_314,dog_0423,H,3
BDSE_315,dog_0316,A,1
BDSE_316,dog_0062,N,2
BDSE_317,dog_0014,N,1
BDSE_318,dog_0167,N,1
BDSE_319,dog_0210,A,4
BDSE_320,dog_0372,H,3
BDSE_321,dog_0307,A,0
BDSE_322,dog_0317,A,0
BDSE_323,dog_0190,N,2
BDSE_324,dog_0395,H,2
BDSE_325,dog_0319,A,2
BDSE_326,dog_0053,N,0
BDSE_327,dog_0029,N,3
BDSE_328,dog_0262,A,1
BDSE_329,dog_0310,A,3
BDSE_330,dog_0068,N,4
BDSE_331,dog_0345,H,2
BDSE_332,dog_0242,A,2
BDSE_333,dog_0085,N,4
BDSE_334,dog_0240,A,2
BDSE_335,dog_0003,N,0
BDSE_336,dog_0066,N,2
BDSE_337,dog_0387,H,1
BDSE_338,dog_0282,A,0
BDSE_339,dog_0404,H,1
BDSE_340,dog_0081,N,0
BDSE_341,dog_0314,A,4
BDSE_342,dog_0321,A,0
BDSE_343,dog_0213,A,4
BDSE_344,dog_0303,A,3
BDSE_345,dog_0093,N,2
BDSE_346,dog_0033,N,1
BDSE_347,dog_0056,N,1
BDSE_348,dog_0417,H,3
BDSE_349,dog_0103,N,0
BDSE_350,dog_0215,A,0
BDSE_351,dog_0319,A,2
BDSE_352,dog_0366,H,0
BDSE_353,dog_0262,A,1
BDSE_354,dog_0005,N,3
BDSE_355,dog_0013,N,4
BDSE_356,dog_0155,N,2
BDSE_357,dog_0390,H,1
BDSE_358,dog_0437,H,0
BDSE_359,dog_0143,N,4
BDSE_360,dog_0254,A,4
BDSE_361,dog_0173,N,1
BDSE_362,dog_0088,N,0
BDSE_363,dog_0055,N,2
BDSE_364,dog_0391,H,2
BDSE_365,dog_0134,N,2
BDSE_366,dog_0123,N,2
BDSE_367,dog_0295,A,1
BDSE_368,dog_0405,H,1
BDSE_369,dog_0030,N,3
BDSE_370,dog_0224,A,4
BDSE_371,dog_0435,H,2
BDSE_372,dog_0432,H,3
BDSE_373,dog_0297,A,1
BDSE_374,dog_0422,N,2
BDSE_375,dog_0084,N,4
BDSE_376,dog_0236,A,4
BDSE_377,dog_0347,H,2
BDSE_378,dog_0292,A,0
BDSE_379,dog_0004,N,3
BDSE_380,dog_0351,H,2
BDSE_381,dog_0247,A,3
BDSE_382,dog_0244,A,2
BDSE_383,dog_0175,N,0
BDSE_384,dog_0331,A,0
BDSE_385,dog_0290,A,1
BDSE_386,dog_0291,A,3
BDSE_387,dog_0034,N,1
BDSE_388,dog_0202,A,3
BDSE_389,dog_0399,H,4
BDSE_390,dog_0009,N,4
BDSE_391,dog_0201,A,0
BDSE_392,dog_0100,N,0
BDSE_393,dog_0275,A,1
BDSE_394,dog_0097,N,3
BDSE_395,dog_0028,N,1
BDSE_396,dog_0067,N,1
BDSE_397,dog_0196,A,4
BDSE_398,dog_0260,A,2
BDSE_399,dog_0285,A,3
BDSE_400,dog_0082,N,1
BDSE_401,dog_0331,A,0
BDSE_402,dog_0095,N,0
BDSE_403,dog_0329,A,0
BDSE_404,dog_0375,H,3
BDSE_405,dog_0354,H,1
BDSE_406,dog_0348,H,0
BDSE_407,dog_0150,N,2
BDSE_408,dog_0385,H,4
BDSE_409,dog_0176,N,1
BDSE_410,dog_0091,N,0
BDSE_411,dog_0285,A,3
BDSE_412,dog_0278,A,4
BDSE_413,dog_0070,N,3
BDSE_414,dog_0204,A,2
BDSE_415,dog_0312,A,1
BDSE_416,dog_0234,A,2
BDSE_417,dog_0300,A,4
BDSE_418,dog_0010,N,1
BDSE_419,dog_0307,A,0
BDSE_420,dog_0377,H,3
BDSE_421,dog_0287,A,3
BDSE_422,dog_0339,H,3
BDSE_423,dog_0238,A,3
BDSE_424,dog_0215,A,0
BDSE_425,dog_0402,H,0
BDSE_426,dog_0307,A,0
BDSE_427,dog_0438,N,0
BDSE_428,dog_0117,N,3
BDSE_429,dog_0233,A,4
BDSE_430,dog_0075,N,2
BDSE_431,dog_0312,A,1
BDSE_432,dog_0147,N,2
BDSE_433,dog_0026,N,1
BDSE_434,dog_0188,N,2
BDSE_435,dog_0429,H,2
BDSE_436,dog_0307,A,0
BDSE_437,dog_0164,N,3
BDSE_438,dog_0105,N,3
BDSE_439,dog_0052,N,4
BDSE_440,dog_0153,N,4
BDSE_441,dog_0163,N,4
BDSE_442,dog_0342,H,0
BDSE_443,dog_0142,N,3
BDSE_444,dog_0106,N,2
BDSE_445,dog_0178,N,4
BDSE_446,dog_0025,N,1
BDSE_447,dog_0144,N,4
BDSE_448,dog_0286,A,3
BDSE_449,dog_0261,A,0
BDSE_450,dog_0051,N,2
BDSE_451,dog_0410,H,4
BDSE_452,dog_0323,A,1
BDSE_453,dog_0021,N,3
BDSE_454,dog_0368,H,4
BDSE_455,dog_0263,A,1
BDSE_456,dog_0038,N,3
BDSE_457,dog_0361,H,2
BDSE_458,dog_0228,A,2
BDSE_459,dog_0301,A,2
BDSE_460,dog_0401,H,3
BDSE_461,dog_0296,A,3
BDSE_462,dog_0189,N,2
BDSE_463,dog_0220,A,1
BDSE_464,dog_0241,A,4
BDSE_465,dog_0396,H,1
BDSE_466,dog_0421,H,4
BDSE_467,dog_0294,A,2
BDSE_468,dog_0111,N,3
BDSE_469,dog_0157,N,0
BDSE_470,dog_0289,A,2
BDSE_471,dog_0229,A,2
BDSE_472,dog_0130,N,2
BDSE_473,dog_0215,A,0
BDSE_474,dog_0198,A,4
BDSE_475,dog_0278,A,4
BDSE_476,dog_0439,N,2
BDSE_477,dog_0181,N,3
BDSE_478,dog_0352,H,0
BDSE_479,dog_0307,A,0
BDSE_480,dog_0057,N,3
BDSE_481,dog_0328,A,1
BDSE_482,dog_0369,H,3
BDSE_483,dog_0047,N,0
BDSE_484,dog_0079,N,2
BDSE_485,dog_0039,N,4
BDSE_486,dog_0278,A,4
BDSE_487,dog_0152,N,2
BDSE_488,dog_0217,A,2
BDSE_489,dog_0362,H,4
BDSE_490,dog_0232,A,3
BDSE_491,dog_0285,A,3
BDSE_492,dog_0200,A,2
BDSE_493,dog_0113,N,0
BDSE_494,dog_0148,N,0
BDSE_495,dog_0441,N,2
BDSE_496,dog_0358,H,3
BDSE_497,dog_0346,H,4
BDSE_498,dog_0027,N,2
BDSE_499,dog_0008,N,4
BDSE_500,dog_0217,A,2
BDSE_501,dog_0246,A,4
