source_dataset,image_id,label,split_purpose,dog_id,origin_class,was_adjudicated,soft_A,soft_N,soft_H,sample_weight,n_class_votes,row_idx
BDSE,BDSE_038,H,in_domain_cv,dog_0376,H,False,0.0,0.0,1.0,1.0,3.0,37
BDSE,BDSE_039,N,in_domain_cv,dog_0048,N,False,0.0,1.0,0.0,1.0,3.0,38
BDSE,BDSE_040,N,in_domain_cv,dog_0037,N,False,0.0,1.0,0.0,1.0,3.0,39
BDSE,BDSE_041,A,in_domain_cv,dog_0249,A,False,1.0,0.0,0.0,1.0,3.0,40
BDSE,BDSE_042,H,in_domain_cv,dog_0365,H,False,0.0,0.0,1.0,1.0,3.0,41
BDSE,BDSE_043,N,in_domain_cv,dog_0050,N,False,0.0,1.0,0.0,1.0,3.0,42
BDSE,BDSE_044,A,in_domain_cv,dog_0253,A,False,1.0,0.0,0.0,1.0,3.0,43
BDSE,BDSE_045,A,in_domain_cv,dog_0209,A,False,1.0,0.0,0.0,1.0,3.0,44
BDSE,BDSE_046,H,in_domain_cv,dog_0349,H,False,0.0,0.0,1.0,1.0,3.0,45
BDSE,BDSE_047,N,in_domain_cv,dog_0035,N,False,0.0,1.0,0.0,1.0,3.0,46
BDSE,BDSE_048,A,in_domain_cv,dog_0319,A,True,1.0,0.0,0.0,0.6666666666666666,2.0,47
BDSE,BDSE_049,A,in_domain_cv,dog_0290,A,False,1.0,0.0,0.0,1.0,3.0,48
BDSE,BDSE_050,A,in_domain_cv,dog_0332,A,False,1.0,0.0,0.0,1.0,3.0,49
BDSE,BDSE_051,A,in_domain_cv,dog_0226,A,False,1.0,0.0,0.0,1.0,3.0,50
BDSE,BDSE_052,N,in_domain_cv,dog_0184,N,False,0.0,1.0,0.0,1.0,3.0,51
BDSE,BDSE_053,N,in_domain_cv,dog_0077,N,False,0.0,1.0,0.0,1.0,3.0,52
BDSE,BDSE_054,N,in_domain_cv,dog_0007,N,False,0.0,1.0,0.0,1.0,3.0,53
BDSE,BDSE_055,H,in_domain_cv,dog_0393,H,False,0.0,0.0,1.0,1.0,3.0,54
BDSE,BDSE_056,A,in_domain_cv,dog_0336,A,False,1.0,0.0,0.0,1.0,3.0,55
BDSE,BDSE_057,H,in_domain_cv,dog_0360,H,False,0.0,0.0,1.0,1.0,3.0,56
BDSE,BDSE_058,N,in_domain_cv,dog_0042,N,False,0.0,1.0,0.0,1.0,3.0,57
BDSE,BDSE_059,A,in_domain_cv,dog_0320,A,False,1.0,0.0,0.0,1.0,3.0,58
BDSE,BDSE_060,N,in_domain_cv,dog_0045,N,False,0.0,1.0,0.0,1.0,3.0,59
BDSE,BDSE_061,A,in_domain_cv,dog_0245,A,False,1.0,0.0,0.0,1.0,3.0,60
BDSE,BDSE_062,N,in_domain_cv,dog_0058,N,False,0.0,1.0,0.0,1.0,3.0,61
BDSE,BDSE_063,N,in_domain_cv,dog_0101,N,False,0.0,1.0,0.0,1.0,3.0,62
BDSE,BDSE_064,H,in_domain_cv,dog_0341,H,False,0.0,0.0,1.0,1.0,3.0,63
BDSE,BDSE_065,N,in_domain_cv,dog_0031,N,False,0.0,1.0,0.0,1.0,3.0,64
BDSE,BDSE_066,N,in_domain_cv,dog_0017,N,False,0.0,1.0,0.0,1.0,3.0,65
BDSE,BDSE_067,A,in_domain_cv,dog_0237,A,True,0.6666666666666666,0.3333333333333333,0.0,1.0,3.0,66
BDSE,BDSE_068,A,in_domain_cv,dog_0329,A,False,1.0,0.0,0.0,1.0,3.0,67
BDSE,BDSE_069,H,in_domain_cv,dog_0371,H,False,0.0,0.0,1.0,1.0,3.0,68
BDSE,BDSE_070,N,in_domain_cv,dog_0183,N,True,0.0,1.0,0.0,0.6666666666666666,2.0,69
BDSE,BDSE_071,N,in_domain_cv,dog_0174,N,False,0.0,1.0,0.0,1.0,3.0,70
BDSE,BDSE_072,A,in_domain_cv,dog_0266,A,False,1.0,0.0,0.0,1.0,3.0,71
BDSE,BDSE_073,A,in_domain_cv,dog_0223,A,False,1.0,0.0,0.0,1.0,3.0,72
BDSE,BDSE_074,A,in_domain_cv,dog_0280,A,True,1.0,0.0,0.0,0.6666666666666666,2.0,73
BDSE,BDSE_075,H,in_domain_cv,dog_0413,H,False,0.0,0.0,1.0,1.0,3.0,74
BDSE,BDSE_076,A,in_domain_cv,dog_0307,A,False,1.0,0.0,0.0,1.0,3.0,75
BDSE,BDSE_077,H,in_domain_cv,dog_0374,H,False,0.0,0.0,1.0,1.0,3.0,76
BDSE,BDSE_078,H,in_domain_cv,dog_0138,N,True,0.0,0.5,0.5,0.6666666666666666,2.0,77
BDSE,BDSE_079,N,in_domain_cv,dog_0032,N,False,0.0,1.0,0.0,1.0,3.0,78
BDSE,BDSE_080,N,in_domain_cv,dog_0036,N,False,0.0,1.0,0.0,1.0,3.0,79
BDSE,BDSE_081,A,in_domain_cv,dog_0325,A,False,1.0,0.0,0.0,1.0,3.0,80
BDSE,BDSE_082,N,in_domain_cv,dog_0058,N,False,0.0,1.0,0.0,1.0,3.0,81
BDSE,BDSE_083,N,in_domain_cv,dog_0060,N,False,0.0,1.0,0.0,1.0,3.0,82
BDSE,BDSE_084,A,in_domain_cv,dog_0276,A,False,1.0,0.0,0.0,1.0,3.0,83
BDSE,BDSE_085,N,in_domain_cv,dog_0016,N,False,0.0,1.0,0.0,1.0,3.0,84
BDSE,BDSE_086,A,in_domain_cv,dog_0306,A,False,1.0,0.0,0.0,1.0,3.0,85
BDSE,BDSE_087,N,in_domain_cv,dog_0061,N,True,0.0,1.0,0.0,0.6666666666666666,2.0,86
BDSE,BDSE_088,A,in_domain_cv,dog_0288,A,False,1.0,0.0,0.0,1.0,3.0,87
BDSE,BDSE_089,N,in_domain_cv,dog_0104,N,False,0.0,1.0,0.0,1.0,3.0,88
BDSE,BDSE_090,A,in_domain_cv,dog_0327,A,False,1.0,0.0,0.0,1.0,3.0,89
BDSE,BDSE_091,N,in_domain_cv,dog_0141,N,False,0.0,1.0,0.0,1.0,3.0,90
BDSE,BDSE_092,A,in_domain_cv,dog_0312,A,False,1.0,0.0,0.0,1.0,3.0,91
BDSE,BDSE_093,N,in_domain_cv,dog_0187,N,False,0.0,1.0,0.0,1.0,3.0,92
BDSE,BDSE_094,A,in_domain_cv,dog_0220,A,False,1.0,0.0,0.0,1.0,3.0,93
BDSE,BDSE_095,H,in_domain_cv,dog_0418,H,False,0.0,0.0,1.0,1.0,3.0,94
BDSE,BDSE_096,H,in_domain_cv,dog_0355,H,False,0.0,0.0,1.0,1.0,3.0,95
BDSE,BDSE_097,A,in_domain_cv,dog_0265,A,False,1.0,0.0,0.0,1.0,3.0,96
BDSE,BDSE_098,N,in_domain_cv,dog_0024,N,False,0.0,1.0,0.0,1.0,3.0,97
BDSE,BDSE_099,H,in_domain_cv,dog_0416,H,False,0.0,0.0,1.0,1.0,3.0,98
BDSE,BDSE_100,N,in_domain_cv,dog_0169,N,False,0.0,1.0,0.0,1.0,3.0,99
BDSE,BDSE_101,N,in_domain_cv,dog_0158,N,True,0.0,0.5,0.5,0.6666666666666666,2.0,100
BDSE,BDSE_102,H,in_domain_cv,dog_0386,H,False,0.0,0.0,1.0,1.0,3.0,101
BDSE,BDSE_103,A,in_domain_cv,dog_0298,A,False,1.0,0.0,0.0,1.0,3.0,102
BDSE,BDSE_104,H,in_domain_cv,dog_0430,H,False,0.0,0.0,1.0,1.0,3.0,103
BDSE,BDSE_105,A,in_domain_cv,dog_0221,A,False,1.0,0.0,0.0,1.0,3.0,104
BDSE,BDSE_106,N,in_domain_cv,dog_0136,N,False,0.0,1.0,0.0,1.0,3.0,105
BDSE,BDSE_107,A,in_domain_cv,dog_0271,A,False,1.0,0.0,0.0,1.0,3.0,106
BDSE,BDSE_108,A,in_domain_cv,dog_0322,A,False,1.0,0.0,0.0,1.0,3.0,107
BDSE,BDSE_109,N,in_domain_cv,dog_0154,N,True,0.0,0.6666666666666666,0.3333333333333333,1.0,3.0,108
BDSE,BDSE_110,A,in_domain_cv,dog_0223,A,False,1.0,0.0,0.0,1.0,3.0,109
BDSE,BDSE_111,A,in_domain_cv,dog_0258,A,False,1.0,0.0,0.0,1.0,3.0,110
BDSE,BDSE_112,N,in_domain_cv,dog_0012,N,False,0.0,1.0,0.0,1.0,3.0,111
BDSE,BDSE_113,H,in_domain_cv,dog_0383,H,False,0.0,0.0,1.0,1.0,3.0,112
BDSE,BDSE_114,A,in_domain_cv,dog_0318,A,False,1.0,0.0,0.0,1.0,3.0,113
BDSE,BDSE_115,N,in_domain_cv,dog_0172,N,False,0.0,1.0,0.0,1.0,3.0,114
BDSE,BDSE_116,N,in_domain_cv,dog_0044,N,False,0.0,1.0,0.0,1.0,3.0,115
BDSE,BDSE_117,N,in_domain_cv,dog_0108,N,False,0.0,1.0,0.0,1.0,3.0,116
BDSE,BDSE_118,H,in_domain_cv,dog_0407,H,True,0.0,0.3333333333333333,0.6666666666666666,1.0,3.0,117
BDSE,BDSE_119,A,in_domain_cv,dog_0300,A,True,0.6666666666666666,0.3333333333333333,0.0,1.0,3.0,118
BDSE,BDSE_120,H,in_domain_cv,dog_0406,H,False,0.0,0.0,1.0,1.0,3.0,119
BDSE,BDSE_121,H,in_domain_cv,dog_0408,H,False,0.0,0.0,1.0,1.0,3.0,120
BDSE,BDSE_122,N,in_domain_cv,dog_0076,N,False,0.0,1.0,0.0,1.0,3.0,121
BDSE,BDSE_123,N,in_domain_cv,dog_0128,N,False,0.0,1.0,0.0,1.0,3.0,122
BDSE,BDSE_124,N,in_domain_cv,dog_0121,N,False,0.0,1.0,0.0,1.0,3.0,123
BDSE,BDSE_125,N,in_domain_cv,dog_0182,N,True,0.0,1.0,0.0,0.6666666666666666,2.0,124
BDSE,BDSE_126,A,in_domain_cv,dog_0315,A,False,1.0,0.0,0.0,1.0,3.0,125
BDSE,BDSE_127,H,in_domain_cv,dog_0424,H,True,0.0,0.3333333333333333,0.6666666666666666,1.0,3.0,126
BDSE,BDSE_128,A,in_domain_cv,dog_0331,A,False,1.0,0.0,0.0,1.0,3.0,127
BDSE,BDSE_129,H,in_domain_cv,dog_0356,H,True,0.0,0.3333333333333333,0.6666666666666666,1.0,3.0,128
BDSE,BDSE_130,N,in_domain_cv,dog_0018,N,False,0.0,1.0,0.0,1.0,3.0,129
BDSE,BDSE_131,N,in_domain_cv,dog_0011,N,True,0.0,0.6666666666666666,0.3333333333333333,1.0,3.0,130
BDSE,BDSE_132,H,in_domain_cv,dog_0389,H,False,0.0,0.0,1.0,1.0,3.0,131
BDSE,BDSE_133,A,in_domain_cv,dog_0284,A,False,1.0,0.0,0.0,1.0,3.0,132
BDSE,BDSE_134,N,in_domain_cv,dog_0069,N,True,0.0,1.0,0.0,0.6666666666666666,2.0,133
BDSE,BDSE_135,A,in_domain_cv,dog_0279,A,False,1.0,0.0,0.0,1.0,3.0,134
BDSE,BDSE_136,A,in_domain_cv,dog_0274,A,False,1.0,0.0,0.0,1.0,3.0,135
BDSE,BDSE_137,A,in_domain_cv,dog_0308,A,False,1.0,0.0,0.0,1.0,3.0,136
BDSE,BDSE_138,N,in_domain_cv,dog_0043,N,False,0.0,1.0,0.0,1.0,3.0,137
BDSE,BDSE_139,H,in_domain_cv,dog_0343,H,False,0.0,0.0,1.0,1.0,3.0,138
BDSE,BDSE_140,A,in_domain_cv,dog_0334,A,False,1.0,0.0,0.0,1.0,3.0,139
BDSE,BDSE_141,N,in_domain_cv,dog_0160,N,True,0.0,0.6666666666666666,0.3333333333333333,1.0,3.0,140
BDSE,BDSE_142,A,in_domain_cv,dog_0262,A,True,0.6666666666666666,0.3333333333333333,0.0,1.0,3.0,141
BDSE,BDSE_143,N,in_domain_cv,dog_0063,N,False,0.0,1.0,0.0,1.0,3.0,142
BDSE,BDSE_144,A,in_domain_cv,dog_0218,A,False,1.0,0.0,0.0,1.0,3.0,143
BDSE,BDSE_145,A,in_domain_cv,dog_0326,A,False,1.0,0.0,0.0,1.0,3.0,144
BDSE,BDSE_146,H,in_domain_cv,dog_0442,H,False,0.0,0.0,1.0,1.0,3.0,145
BDSE,BDSE_147,A,in_domain_cv,dog_0223,A,True,0.6666666666666666,0.3333333333333333,0.0,1.0,3.0,146
BDSE,BDSE_148,N,in_domain_cv,dog_0145,N,False,0.0,1.0,0.0,1.0,3.0,147
BDSE,BDSE_149,N,in_domain_cv,dog_0002,N,False,0.0,1.0,0.0,1.0,3.0,148
BDSE,BDSE_150,N,in_domain_cv,dog_0115,N,False,0.0,1.0,0.0,1.0,3.0,149
BDSE,BDSE_151,A,in_domain_cv,dog_0317,A,False,1.0,0.0,0.0,1.0,3.0,150
BDSE,BDSE_152,N,in_domain_cv,dog_0054,N,False,0.0,1.0,0.0,1.0,3.0,151
BDSE,BDSE_153,N,in_domain_cv,dog_0168,N,True,0.0,0.5,0.5,0.6666666666666666,2.0,152
BDSE,BDSE_154,H,in_domain_cv,dog_0431,H,False,0.0,0.0,1.0,1.0,3.0,153
BDSE,BDSE_155,N,in_domain_cv,dog_0041,N,False,0.0,1.0,0.0,1.0,3.0,154
BDSE,BDSE_156,A,in_domain_cv,dog_0217,A,False,1.0,0.0,0.0,1.0,3.0,155
BDSE,BDSE_157,A,in_domain_cv,dog_0231,A,False,1.0,0.0,0.0,1.0,3.0,156
BDSE,BDSE_158,A,in_domain_cv,dog_0331,A,False,1.0,0.0,0.0,1.0,3.0,157
BDSE,BDSE_159,A,in_domain_cv,dog_0250,A,False,1.0,0.0,0.0,1.0,3.0,158
BDSE,BDSE_160,N,in_domain_cv,dog_0419,H,True,0.0,0.0,1.0,0.6666666666666666,2.0,159
BDSE,BDSE_161,A,in_domain_cv,dog_0223,A,False,1.0,0.0,0.0,1.0,3.0,160
BDSE,BDSE_162,A,in_domain_cv,dog_0261,A,False,1.0,0.0,0.0,1.0,3.0,161
BDSE,BDSE_163,A,in_domain_cv,dog_0208,A,False,1.0,0.0,0.0,1.0,3.0,162
BDSE,BDSE_164,A,in_domain_cv,dog_0262,A,True,0.5,0.5,0.0,0.6666666666666666,2.0,163
BDSE,BDSE_165,N,in_domain_cv,dog_0071,N,False,0.0,1.0,0.0,1.0,3.0,164
BDSE,BDSE_166,A,in_domain_cv,dog_0215,A,False,1.0,0.0,0.0,1.0,3.0,165
BDSE,BDSE_167,A,in_domain_cv,dog_0211,A,False,1.0,0.0,0.0,1.0,3.0,166
BDSE,BDSE_169,N,in_domain_cv,dog_0177,N,False,0.0,1.0,0.0,1.0,3.0,167
BDSE,BDSE_170,A,in_domain_cv,dog_0285,A,False,1.0,0.0,0.0,1.0,3.0,168
BDSE,BDSE_171,N,in_domain_cv,dog_0086,N,True,0.0,0.6666666666666666,0.3333333333333333,1.0,3.0,169
BDSE,BDSE_172,A,in_domain_cv,dog_0309,A,True,0.5,0.5,0.0,0.6666666666666666,2.0,170
BDSE,BDSE_173,H,in_domain_cv,dog_0378,H,False,0.0,0.0,1.0,1.0,3.0,171
BDSE,BDSE_174,N,in_domain_cv,dog_0059,N,True,0.0,1.0,0.0,0.6666666666666666,2.0,172
BDSE,BDSE_175,N,in_domain_cv,dog_0137,N,False,0.0,1.0,0.0,1.0,3.0,173
BDSE,BDSE_176,A,in_domain_cv,dog_0270,A,False,1.0,0.0,0.0,1.0,3.0,174
BDSE,BDSE_177,N,in_domain_cv,dog_0124,N,False,0.0,1.0,0.0,1.0,3.0,175
BDSE,BDSE_178,N,in_domain_cv,dog_0116,N,True,0.0,0.5,0.5,0.6666666666666666,2.0,176
BDSE,BDSE_179,N,in_domain_cv,dog_0065,N,False,0.0,1.0,0.0,1.0,3.0,177
BDSE,BDSE_180,A,in_domain_cv,dog_0272,A,False,1.0,0.0,0.0,1.0,3.0,178
BDSE,BDSE_181,A,in_domain_cv,dog_0333,A,False,1.0,0.0,0.0,1.0,3.0,179
BDSE,BDSE_182,N,in_domain_cv,dog_0185,N,True,0.0,0.5,0.5,0.6666666666666666,2.0,180
BDSE,BDSE_183,A,in_domain_cv,dog_0302,A,False,1.0,0.0,0.0,1.0,3.0,181
BDSE,BDSE_184,N,in_domain_cv,dog_0092,N,False,0.0,1.0,0.0,1.0,3.0,182
BDSE,BDSE_185,H,in_domain_cv,dog_0373,H,False,0.0,0.0,1.0,1.0,3.0,183
BDSE,BDSE_186,N,in_domain_cv,dog_0074,N,False,0.0,1.0,0.0,1.0,3.0,184
BDSE,BDSE_187,A,in_domain_cv,dog_0217,A,False,1.0,0.0,0.0,1.0,3.0,185
BDSE,BDSE_188,H,in_domain_cv,dog_0363,H,False,0.0,0.0,1.0,1.0,3.0,186
BDSE,BDSE_189,N,in_domain_cv,dog_0166,N,False,0.0,1.0,0.0,1.0,3.0,187
BDSE,BDSE_190,A,in_domain_cv,dog_0337,A,False,1.0,0.0,0.0,1.0,3.0,188
BDSE,BDSE_191,H,in_domain_cv,dog_0400,H,False,0.0,0.0,1.0,1.0,3.0,189
BDSE,BDSE_192,N,in_domain_cv,dog_0094,N,True,0.0,1.0,0.0,0.6666666666666666,2.0,190
BDSE,BDSE_193,N,in_domain_cv,dog_0149,N,False,0.0,1.0,0.0,1.0,3.0,191
BDSE,BDSE_194,A,in_domain_cv,dog_0225,A,False,1.0,0.0,0.0,1.0,3.0,192
BDSE,BDSE_195,A,in_domain_cv,dog_0227,A,False,1.0,0.0,0.0,1.0,3.0,193
BDSE,BDSE_196,H,in_domain_cv,dog_0420,H,True,0.0,0.0,1.0,0.6666666666666666,2.0,194
BDSE,BDSE_197,H,in_domain_cv,dog_0414,H,True,0.0,0.5,0.5,0.6666666666666666,2.0,195
BDSE,BDSE_198,H,in_domain_cv,dog_0381,H,False,0.0,0.0,1.0,1.0,3.0,196
BDSE,BDSE_199,N,in_domain_cv,dog_0161,N,False,0.0,1.0,0.0,1.0,3.0,197
BDSE,BDSE_200,H,in_domain_cv,dog_0364,H,False,0.0,0.0,1.0,1.0,3.0,198
BDSE,BDSE_201,H,in_domain_cv,dog_0357,H,False,0.0,0.0,1.0,1.0,3.0,199
BDSE,BDSE_202,H,in_domain_cv,dog_0388,H,False,0.0,0.0,1.0,1.0,3.0,200
BDSE,BDSE_203,N,in_domain_cv,dog_0073,N,False,0.0,1.0,0.0,1.0,3.0,201
BDSE,BDSE_204,A,in_domain_cv,dog_0324,A,False,1.0,0.0,0.0,1.0,3.0,202
BDSE,BDSE_205,A,in_domain_cv,dog_0222,A,False,1.0,0.0,0.0,1.0,3.0,203
BDSE,BDSE_206,N,in_domain_cv,dog_0151,N,False,0.0,1.0,0.0,1.0,3.0,204
BDSE,BDSE_207,N,in_domain_cv,dog_0179,N,False,0.0,1.0,0.0,1.0,3.0,205
BDSE,BDSE_208,A,in_domain_cv,dog_0214,A,False,1.0,0.0,0.0,1.0,3.0,206
BDSE,BDSE_209,A,in_domain_cv,dog_0217,A,False,1.0,0.0,0.0,1.0,3.0,207
BDSE,BDSE_210,H,in_domain_cv,dog_0428,H,False,0.0,0.0,1.0,1.0,3.0,208
BDSE,BDSE_211,N,in_domain_cv,dog_0122,N,False,0.0,1.0,0.0,1.0,3.0,209
BDSE,BDSE_212,A,in_domain_cv,dog_0329,A,False,1.0,0.0,0.0,1.0,3.0,210
BDSE,BDSE_213,A,in_domain_cv,dog_0230,A,False,1.0,0.0,0.0,1.0,3.0,211
BDSE,BDSE_214,N,in_domain_cv,dog_0019,N,False,0.0,1.0,0.0,1.0,3.0,212
BDSE,BDSE_215,H,in_domain_cv,dog_0434,H,False,0.0,0.0,1.0,1.0,3.0,213
BDSE,BDSE_216,A,in_domain_cv,dog_0220,A,False,1.0,0.0,0.0,1.0,3.0,214
BDSE,BDSE_217,A,in_domain_cv,dog_0335,A,False,1.0,0.0,0.0,1.0,3.0,215
BDSE,BDSE_218,A,in_domain_cv,dog_0206,A,True,1.0,0.0,0.0,0.6666666666666666,2.0,216
BDSE,BDSE_219,A,in_domain_cv,dog_0255,A,False,1.0,0.0,0.0,1.0,3.0,217
BDSE,BDSE_220,H,in_domain_cv,dog_0353,H,False,0.0,0.0,1.0,1.0,3.0,218
BDSE,BDSE_221,N,in_domain_cv,dog_0120,N,True,0.0,0.6666666666666666,0.3333333333333333,1.0,3.0,219
BDSE,BDSE_222,A,in_domain_cv,dog_0257,A,False,1.0,0.0,0.0,1.0,3.0,220
BDSE,BDSE_223,A,in_domain_cv,dog_0216,A,False,1.0,0.0,0.0,1.0,3.0,221
BDSE,BDSE_224,N,in_domain_cv,dog_0099,N,False,0.0,1.0,0.0,1.0,3.0,222
BDSE,BDSE_225,N,in_domain_cv,dog_0119,N,False,0.0,1.0,0.0,1.0,3.0,223
BDSE,BDSE_226,A,in_domain_cv,dog_0281,A,False,1.0,0.0,0.0,1.0,3.0,224
BDSE,BDSE_227,N,in_domain_cv,dog_0022,N,False,0.0,1.0,0.0,1.0,3.0,225
BDSE,BDSE_228,A,in_domain_cv,dog_0305,A,False,1.0,0.0,0.0,1.0,3.0,226
BDSE,BDSE_229,N,in_domain_cv,dog_0090,N,False,0.0,1.0,0.0,1.0,3.0,227
BDSE,BDSE_230,A,in_domain_cv,dog_0205,A,True,1.0,0.0,0.0,0.6666666666666666,2.0,228
BDSE,BDSE_231,N,in_domain_cv,dog_0195,N,False,0.0,1.0,0.0,1.0,3.0,229
BDSE,BDSE_232,H,in_domain_cv,dog_0350,H,False,0.0,0.0,1.0,1.0,3.0,230
BDSE,BDSE_233,N,in_domain_cv,dog_0191,N,True,0.0,0.5,0.5,0.6666666666666666,2.0,231
BDSE,BDSE_234,H,in_domain_cv,dog_0398,H,False,0.0,0.0,1.0,1.0,3.0,232
BDSE,BDSE_235,N,in_domain_cv,dog_0072,N,False,0.0,1.0,0.0,1.0,3.0,233
BDSE,BDSE_236,A,in_domain_cv,dog_0262,A,True,0.5,0.5,0.0,0.6666666666666666,2.0,234
BDSE,BDSE_237,N,in_domain_cv,dog_0110,N,True,0.0,0.6666666666666666,0.3333333333333333,1.0,3.0,235
BDSE,BDSE_238,N,in_domain_cv,dog_0129,N,False,0.0,1.0,0.0,1.0,3.0,236
BDSE,BDSE_239,H,in_domain_cv,dog_0382,H,True,0.0,0.3333333333333333,0.6666666666666666,1.0,3.0,237
BDSE,BDSE_240,N,in_domain_cv,dog_0078,N,True,0.0,0.6666666666666666,0.3333333333333333,1.0,3.0,238
BDSE,BDSE_241,A,in_domain_cv,dog_0264,A,False,1.0,0.0,0.0,1.0,3.0,239
BDSE,BDSE_242,H,in_domain_cv,dog_0392,H,True,0.0,0.0,1.0,0.6666666666666666,2.0,240
BDSE,BDSE_243,A,in_domain_cv,dog_0235,A,False,1.0,0.0,0.0,1.0,3.0,241
BDSE,BDSE_244,N,in_domain_cv,dog_0046,N,True,0.0,0.5,0.5,0.6666666666666666,2.0,242
BDSE,BDSE_245,A,in_domain_cv,dog_0313,A,False,1.0,0.0,0.0,1.0,3.0,243
BDSE,BDSE_246,N,in_domain_cv,dog_0107,N,False,0.0,1.0,0.0,1.0,3.0,244
BDSE,BDSE_247,A,in_domain_cv,dog_0199,A,False,1.0,0.0,0.0,1.0,3.0,245
BDSE,BDSE_248,A,in_domain_cv,dog_0252,A,False,1.0,0.0,0.0,1.0,3.0,246
BDSE,BDSE_249,H,in_domain_cv,dog_0359,H,True,0.0,0.3333333333333333,0.6666666666666666,1.0,3.0,247
BDSE,BDSE_250,N,in_domain_cv,dog_0131,N,False,0.0,1.0,0.0,1.0,3.0,248
BDSE,BDSE_251,N,in_domain_cv,dog_0083,N,False,0.0,1.0,0.0,1.0,3.0,249
